Número de persona,Generó con el cuál se identifica,Edad,Ciudad de nacimiento,Departamento o país de nacimiento,Ciudades que ha vivido,Departamento o país ciudades que ha vivido,Ciudad de origen de su Padre,Departamento o país origen de su Padre,Ciudad es originaria de su madre,Departamento o país originaria de su madre,Productos capilares,Ropa ajustada,Ropa interior,Maquillaje,Joyería,"Productos o tratamientos de cuidado facial (mascarillas, cremas, láser...)",Ejercicio,Calzado,Considera que existe otro producto o servicio representativo,Productos capilares,Ropa ajustada,Ropa interior,Maquillaje,Joyería,"Productos o tratamientos de cuidado facial (mascarillas, cremas, láser...)",Ejercicio,Calzado,Considera que existe otro producto o servicio representativo,¿ Cuál es la zona corporal más representativa de la belleza femenina?,¿ Cuál es la zona corporal más representativa de la belleza femenina?
1,Hombre,23,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,,,,,,,,,,3,2,4,4,4,4,5,3,Cirugías estéticas,,Cintura
1,Hombre,23,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,,,,,,,,,,3,1,3,4,3,5,3,3,Cirugías estéticas,,El rostro
1,Hombre,34,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,,,,,,,,,,5,5,5,5,5,5,5,5,Cirugías estéticas,,Las piernas
1,Hombre,23,Bogotá,Cundinamarca,Fusagasugá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,,,,,,,,,,3,1,3,4,3,5,3,3,Cirugías estéticas,,El rostro
1,Hombre,34,Bogotá,Cundinamarca,Ibagué,Tolima,Bogotá,Cundinamarca,Bogotá,Cundinamarca,,,,,,,,,,5,5,5,5,5,5,5,5,,,Las piernas
1,Hombre,61,Cali,Valle del cauca,Bogotá,Cundinamarca,Cali,Valle del cauca,Bogotá,Cundinamarca,,,,,,,,,,4,4,4,4,4,4,4,4,Personalidad,,Los ojos
1,Hombre,61,Cali,Valle del cauca,Bogotá,Cundinamarca,Cali,Valle del cauca,Bogotá,Cundinamarca,,,,,,,,,,4,4,4,4,4,4,4,4,Glamour,,Glúteos
1,Hombre,61,Cali,Valle del cauca,Bogotá,Cundinamarca,Cali,Valle del cauca,Bogotá,Cundinamarca,,,,,,,,,,4,5,5,4,5,3,5,5,Glamour,,La inteligencia
1,Hombre,61,Cali,Valle del cauca,Bogotá,Cundinamarca,Cali,Valle del cauca,Bogotá,Cundinamarca,,,,,,,,,,4,5,5,4,5,4,5,5,,,Cara
1,Hombre,61,Cali,Valle del cauca,Bogotá,Cundinamarca,Cali,Valle del cauca,Bogotá,Cundinamarca,,,,,,,,,,3,3,5,3,5,3,5,5,Medias,,Sus piernas
1,Hombre,61,Cali,Valle del cauca,Bogotá,Cundinamarca,Cali,Valle del cauca,Bogotá,Cundinamarca,,,,,,,,,,5,5,4,3,4,3,5,4,Personalidad,,Inteligencia
1,Hombre,19,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,,,,,,,,,,2,5,2,4,3,1,4,2,Cirugías estéticas,,Caderas
1,Hombre,25,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,,,,,,,,,,1,5,5,5,5,3,1,5,Cirugía estética,,La cola y el busto
1,Hombre,32,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,,,,,,,,,,4,4,4,4,5,5,3,5,Toallas intimas,,Todo el cuerpo
