 ,,INFLUENCERS,,CIUDAD / PAÍS,,DÍA,HORARIO DE PUBLICACIÓN,,TIPO DE PUBLICACIÓN,,,,MONETIZACIÓN,,,NÚMERO DE REACCIONES,,,PERSONAS EXPUESTAS (ROL),,,,,,,,,,PLANO PARA TOMAR FOTO/VIDEO,ELEMENTOS TECNOLÓGICOS,DESCRIPCIÓN
RELEVANCIA,PROFESIÓN,NOMBRE,EDAD,ORIGEN,ACTUAL,,LOCALIZACIÓN,COLOMBIA,STORIE,,PUBLICACIÓN,,NO PAGA,PUBLICIDAD PROPIA,PAGA,LIKES,REPRODUCCIONES,COMENTARIOS,INDIVIDUAL,TOTAL DEL COLABORATIVO,COLABORATIVA,,,TOTAL DE OTROS,OTRO,,,SIN,,,
,,,,,,,,,FOTO,VIDEO,FOTO,VIDEO,,,,,,,,,AMBOS,MASCULINO,FEMENINO,,AMBOS,MASCULINO,FEMENINO,,,,
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Miércoles,6:00 A.M.,9:00 A.M.,,X,,,,X,,,,,,,,,,X,,,X,,Manos y piernas,"Uñas postizas, iluminador corporal, brocha cuadrada",Bucle de dos fotos en donde promociona su bronceador/iluminador corporal (kkwbeauty)  con un texto estático que dice ¨Two new bodyfoundation shades: Pale and deep. Available now
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Miércoles,7:00 A.M.,10:00 A.M.,X,,,,,X,,,,,,,,,,X,,,X,,Encuadre plano medio corpo,Maquillaje facial y vestidos negros,"Fotos de dos mujeres (una afrodescendiente con cabello oscuro liso, ojos avellana, y una una caucásica, de cabello voluminoso rubio y ojos verdes) mirando a la cámara, con labial nude y una línea de sombra negra en la cuenca del párpado móvil, además de base y pestañina. Contiene un texto que dice ¨Back in stock the mates collection (kkwbeaty) shop now"
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California","Estados Unidos, Los Ángeles, California",Miércoles,7:00 A.M.,10:00 A.M,,,X,,,X,,1.254.847M,,8.470K,,,,,,X,,,X,,plano americano,"ropa, maquillaje facial y fragancias",I’m so excited to announce the new @kkwfragrance Diamonds Collection by Kourtney x Kim x Khloé!!! This collection is really special because it’s the first fragrance collaboration I’ve done with Kourtney and Khloe for my line. Each of the fragrances really capture us individually. My scent is fresh and floral and becomes warmer as I wear it throughout the day. I can’t wait for you guys to smell how amazing these scents are!!! Launching on 11.08 at 12PM PST at KKWFRAGRANCE.COM #DiamondsCollection
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Miércoles,7:00 A.M.,10:00 A.M.,X,,,,,X,,,,,,,,,,X,,,X,,Primer primerísimo plano,"Paleta de sombras, labial, vestido negro, sabanas blancas","Foto de una mujer mirando a la cámara directamente (una afrodescendiente con cabello oscuro liso, ojos avellana) acostada en una cama de sábanas blancas. Con un texto animado que dice ¨mates collection bundle, matte cocoa bundle, matte smoke bundle, matte lipstick bunble, matte lipsticks, matte cocoa lip liners, matte smoke lines (kkwbeaty) shop now"
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Miércoles,8:00 A.M.,11:00 A.M.,X,,,,,X,,,,,X,,,,,,,,,,Plano completo,"Smartphone. indumentaria blanca, tapete blanco","The @skims Cotton Collection, restocking TOMORROW, Oct 31 AT 9 AM PST / 12 PM EST/ Join the waitlinst now at SKIMS:COM to be the fist shop. "
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Miércoles,11:00 A.M.,2:00 P.M.,X,,,,X,,,,,,,,,,,,,,,X,,,"Texto que dice: From of mode. 8 month ago my dad was diagnosed with stage 3 Esophageal cancer & i was shook¡ A miracle occurred that the same week I Saw that @kimkardashian announced the Esophageal center with @ucla in honor of her father Robert Kardashian and I asked one of my dear friends @simoneharouche for help, 4 mins later @kimkardashian got my dad into the best dr´s and these two childhood bff´s as my angels. The journey isn't over but it is paved with recovery and success and love. GOD IS GOOD"
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Miércoles,1:00 P.M.,4:00 P.M.,X,,,,,X,,,,,X,,,,,,,,,,Plano completo,Indumentaria deportiva,"I´m wearing the @skims Cotton Plunge Bralette (36$) Mineral-restocking TOMORROW, Oct 31 AT 9 AM PST / 12 PM EST/ Join the waitlinst now at SKIMS:COM to be the fist shop. "
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Miércoles,1:00 P.M.,4:00 P.M.,X,,,,X,,,,,,,,,,,,,,,X,,,Dulces de maíz inflado con chocolate encima
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Miércoles,4:00 P.M.,7:00 P.M.,,X,,,X,,,,,,X,,,,,,,,,,Plano medio corto,Camiseta blanca y maquillaje,"Lleva un filtro de pecas y mariposas en sus pómulos, con música de fondo mientras posa en un carro donde va de pasajera"
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Miércoles,4:00 P.M.,7:00 P.M.,,X,,,X,,,,,,,X,,X,,,,,,,Plano medio corto,"Tijeras de corte, ropa deportiva negra, camiseta blanca y maquillaje",Comenta como @chisappletonl le corta el cabello en un parqueadero
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Miércoles,4:00 P.M.,7:00 P.M.,,X,,,X,,,,,,,X,,X,,,,,,,Plano medio corto,"Tijeras de corte, ropa deportiva negra, camiseta blanca y maquillaje",Comenta con es la vida en Hollywood y que ya está lista
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Miércoles,4:00 P.M.,7:00 P.M.,,X,,,X,,,,,,,X,,X,,,,,,,,Automóvil,Muestra los cabellos que le cayeron en su automóvil por culpa de @chisappletonl
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Jueves,7:00 A.M.,10:00 A.M.,X,,,,X,,,,,,,X,,,X,,,,,,Plano medio,Disfraz y maquillaje,Fondo de @lisarina disfrazada
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Jueves,8:00 A.M.,11:00 A.M,X,,,,,X,,,,,X,,,,,,,,,,Plano medio,Indumentaria blanca y un sofá con cojines a juego con su vestimenta,Foto de ella posando con un texto en su debajo de su busto que dice ¨Swipe up to shop the cotton collection (@skims)¨
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Jueves,8:00 A.M.,11:00 A.M,X,,,,,X,,,,,X,,,,,,,,,,Plano completo,"Cama, indumentaria y teléfono blanco",Foto de ella posando sin mirara a la cámara llamando con un texto fuera de la foto que dice ¨Shop the @skims Cotton Collection now at SKIMS.COM and receive free shipping on domestic order over $75¨
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Jueves,10:00 A.M.,1:00 P.M.,,X,,,,X,,,,,X,,,,,,,,,,Plano medio,"Bikini, peluca, piscina y arreglo floral",Video promocional de una chica Elle Woods (Kim Kardashian) diciendo su misión es entrar fácilmente a Harvard
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Jueves,10:00 A.M.,1:00 P.M.,,X,,,,X,,,,,X,,,,,,,,,,Plano medio,Bikini y peluca,La señorita Elle Woods (Kim Kardashian) posando (@reesewitherspoon)
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California","Estados Unidos, Los Ángeles, California",Jueves,10:00 A.M.,1:00 P.M.,,,X,,,,X,1.303.480M,,4.271K,,X,,,X,,,,,,plano medio,"Bikini, maquillaje y amoblado ",We are sold out of our @skims bonded collection! Go to Skims.com for updates! The Cotton Collection restocks tomorrow at 9am.
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Jueves,11:00 A.M.,2:00 P.M.,X,,,,,X,,,,,X,,,,,,,,,,Plano medio,"Bikini, peluca, piscina y arreglo floral",Captura de la publicación realizada por @reesewitherpoon en donde escriben @kimkardashian Elle Woods forever¡
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",Armenia Hayastani Hanrapetut'yun,Jueves,11:00 A.M.,2:00 P.M.,,,X,,X,,,4.8880.297M,,45.950K,,,,,,X,X,,,,Plano completo,"ropa, joyería, maquillaje facial, columnas ",Yesterday was such a huge victory for the Armenian people when the US House Of Representatives acknowledged the Armenian Genocide! This photo was taken of me and my children this month in Armenia 🇦🇲 by Jackie Nickerson
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Jueves,11:00 A.M.,2:00 P.M.,,X,,,,X,,,,,,,,,,X,,,X,,Plano americano,Top deportivo y leggins a juego ,"Captura de un video publicado por @kyliejenner mostrando su ropa, está publicación es acompañada por un texto que dice ¨@kyliejenner wear @skims Cotton Collection in Bone. Shop now at SKIMS.Command receive free shipping on domestic orders over $75"
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Jueves,11:00 A.M.,2:00 P.M.,X,,,,,X,,,,,X,,,,,,,,,,Plano medio,Bikini y peluca,Foto de Elle Woods (Kim Kardashian) e
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Jueves,11:00 A.M.,2:00 P.M.,X,,,,X,,,,,,,,,,,X,X,,,,Plano completo,"Vestido, traje y alfombra",Foto de dos personas (@iamerica_mena y @safaree) en la alfombra roja (la mujer embarazada lleva un vestido estilo trompeta manga larga floral en tonalidad rosadas/ él hombre lleva un estilo clásico de traje con una camisa y corbatín blanco) y un texto fuera de la foto que dice ¨They killed this¡¡¡ @iamerica_mena @safaree)
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Jueves,11:00 A.M.,2:00 P.M.,X,,,,X,,,,,,,X,X,,,,,,,,Plano completo,"Vestido, traje y alfombra",Dos fotos en comparacion de @iamerica_mena y @safaree) vs ella (@kimkardashian) y su esposo @kanyewest en él mismo evento unos años atrás con la misma pose y estado de embarazo
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Jueves,12:00 P.M.,3:00 P.M.,X,,,,,X,,,,,X,,,,,,,,,,Plano completo,Indumentaria negra y una cama con cojines marrón grisáceo satinado,Foto de ella cargando a un cachorro frente a su rostro y un texto acompañando fuera de la imagen que dice¨Essential @skimd Cotton Collection pieces are still available at SKIMS.COM. Shop now at SKIMS.Command receive free shipping on domestic orders over $75
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Jueves,2:00 P.M.,5:00 P.M.,X,,,,X,,,,,,,,,,,,,,,X,,,Captura del la tienda virtual de su marido shopkanyewest.com y él  sencillo ¨Jessus is King¨ cassette + digital download 05:33:30
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Jueves,2:00 P.M.,5:00 P.M.,X,,,,X,,,,,,,,,,,,,,,X,,,Captura del cassette de ¨Jessus is King¨ de Kanye West y un texto que dice ¨I am obsessed with a cassette¡¡ Swipe Up¡¨
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Jueves,6:00 P.M.,9:00 P.M.,,X,,,X,,,,,,,,,,,,,,,X,,Indumentaria,Video en que dice él foodtruck en que va a comprar los postres para halloween que va a comprar
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Jueves,6:00 P.M.,9:00 P.M.,,X,,,X,,,,,,,,,,,,,,,X,,,Video que muestra la mesa de postres de la fiesta de halloween de Kourtney
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Jueves,7:00 P.M.,10:00 P.M.,X,,,,X,,,,,,,,,,,X,,,X,,Plano completo,"Vestidos, pelucas, diademas, botas, tenis, maquillaje, joyería, accesorios (alas)","Foto de tres niñas vestidas de ángeles y demonio, yendo a una casa del terror"
